"","current.population","hour.group","victim.age","victim.sex","victim.race","victim.residency","offender.age","offender.sex","offender.race","multiple.victims","multiple.offenders","relationship.group","division.name","location.group","same.race","target.harm"
"1840",652725,"Morning",8,"female","black","resident",33,"female","black","Single Victim","Single Offender","Parent","East South Central","Home",0,"0"
"1841",2502,"Afternoon",5,"female","white","resident",28,"female","white","Single Victim","Single Offender","Parent","West North Central","Home",0,"0"
"1842",89180,"Night",2,"male","white","resident",39,"male","white","Single Victim","Single Offender","Parent","West North Central","Home",0,"0"
"1843",673650,"Night",4,"female","black","non-resident",31,"male","black","Single Victim","Single Offender","Parent","East South Central","Home",0,"0"
"1844",12729,"Afternoon",5,"male","white","resident",24,"female","white","Single Victim","Single Offender","Parent","West North Central","Home",0,"0"
"1845",10544,"Afternoon",9,"female","white","resident",35,"male","white","Multiple Victims","Single Offender","Parent","East North Central","Home",0,"0"
"1846",21798,"Morning",14,"female","white","resident",36,"female","white","Single Victim","Single Offender","Parent","West North Central","Home",0,"0"
"1847",101632,"Night",4,"male","black","resident",25,"male","black","Single Victim","Single Offender","Parent","East North Central","Home",0,"0"
"1848",4842,"Afternoon",3,"female","white","resident",29,"female","white","Single Victim","Single Offender","Parent","New England","Home",0,"0"
"1849",56518,"Afternoon",8,"female","white","resident",26,"male","white","Single Victim","Single Offender","Parent","West North Central","Home",0,"0"
"1850",5740,"Morning",12,"male","white","non-resident",34,"female","white","Multiple Victims","Single Offender","Parent","West North Central","Home",0,"0"
"1851",137356,"Morning",5,"female","white","resident",29,"male","white","Single Victim","Single Offender","Parent","East South Central","Home",0,"0"
"1852",1009834,"Afternoon",15,"female","black","resident",58,"male","black","Single Victim","Single Offender","Parent","South Atlantic","Home",0,"1"
"1853",98168,"Night",1,"male","white","non-resident",24,"female","white","Single Victim","Single Offender","Parent","East North Central","Home",0,"0"
"1854",72071,"Night",9,"male","black","resident",34,"female","black","Single Victim","Single Offender","Parent","East North Central","Home",0,"0"
"1855",171541,"Morning",5,"female","black","resident",25,"female","black","Multiple Victims","Single Offender","Parent","East South Central","Other",0,"0"
"1856",47945,"Afternoon",12,"female","white","resident",37,"male","white","Single Victim","Single Offender","Parent","Mountain","Home",0,"0"
"1857",66556,"Morning",6,"female","white","resident",33,"male","white","Multiple Victims","Single Offender","Parent","East North Central","Home",0,"1"
"1858",77347,"Afternoon",11,"female","black","resident",30,"female","black","Multiple Victims","Multiple Offenders","Parent","South Atlantic","Home",0,"0"
"1859",7235,"Night",10,"male","white","resident",34,"female","white","Multiple Victims","Single Offender","Parent","New England","Home",0,"0"
"1860",51178,"Night",10,"female","black","resident",28,"male","black","Single Victim","Single Offender","Parent","South Atlantic","Home",0,"0"
"1861",69979,"Afternoon",13,"male","amer.indian","resident",37,"male","amer.indian","Multiple Victims","Single Offender","Parent","West North Central","Home",0,"0"
"1862",19351,"Morning",11,"male","white","resident",35,"male","white","Single Victim","Single Offender","Parent","New England","Home",0,"0"
"1863",657436,"Early",14,"male","black","resident",42,"male","black","Single Victim","Single Offender","Parent","East South Central","Home",0,"0"
"1864",43827,"Afternoon",9,"male","black","resident",29,"male","black","Single Victim","Single Offender","Parent","East North Central","School/Center",0,"0"
"1865",71775,"Morning",5,"female","black","resident",26,"male","black","Single Victim","Single Offender","Parent","East North Central","Other",0,"0"
"1866",707096,"Afternoon",5,"female","black","resident",24,"male","black","Single Victim","Single Offender","Parent","East North Central","Home",0,"0"
"1867",63051,"Morning",13,"male","white","resident",39,"male","white","Single Victim","Single Offender","Parent","East South Central","Home",0,"0"
"1868",64225,"Night",1,"female","asian","resident",36,"male","asian","Single Victim","Single Offender","Parent","West South Central","Home",0,"1"
"1869",102357,"Afternoon",10,"male","white","resident",37,"male","white","Single Victim","Single Offender","Parent","East North Central","Home",0,"0"
"1870",657436,"Morning",14,"female","black","resident",35,"male","black","Multiple Victims","Single Offender","Parent","East South Central","Home",0,"0"
"1871",21435,"Morning",2,"female","white","non-resident",25,"male","white","Single Victim","Single Offender","Parent","East South Central","Other",0,"0"
"1872",169187,"Morning",2,"female","black","resident",31,"male","black","Single Victim","Single Offender","Parent","East South Central","Home",0,"0"
"1873",123859,"Afternoon",2,"male","black","resident",21,"male","black","Single Victim","Single Offender","Parent","South Atlantic","Other",0,"1"
"1874",57512,"Afternoon",7,"female","white","resident",37,"male","white","Single Victim","Single Offender","Parent","Mountain","Home",0,"0"
"1875",101632,"Morning",12,"female","black","resident",30,"male","black","Single Victim","Single Offender","Parent","East North Central","Home",0,"0"
"1876",30551,"Morning",15,"female","black","resident",37,"female","white","Single Victim","Single Offender","Parent","East South Central","School/Center",1,"0"
"1877",27227,"Night",12,"female","white","resident",35,"female","white","Single Victim","Single Offender","Parent","South Atlantic","Other",0,"0"
"1878",81431,"Afternoon",12,"male","white","resident",31,"female","white","Multiple Victims","Single Offender","Parent","Mountain","Other",0,"0"
"1879",77455,"Afternoon",11,"female","white","resident",29,"female","white","Single Victim","Single Offender","Parent","Pacific","Home",0,"0"
"1880",19411,"Night",2,"female","white","non-resident",52,"male","white","Multiple Victims","Single Offender","Parent","East North Central","Home",0,"0"
"1881",0,"Afternoon",5,"male","white","resident",25,"female","white","Single Victim","Single Offender","Parent","East North Central","Home",0,"0"
"1882",226320,"Afternoon",3,"male","white","resident",40,"female","black","Single Victim","Single Offender","Parent","East North Central","Home",1,"0"
"1883",10189,"Morning",3,"female","white","resident",27,"male","white","Single Victim","Single Offender","Parent","West North Central","Home",0,"0"
"1884",192465,"Morning",5,"male","white","resident",20,"male","white","Single Victim","Single Offender","Parent","Mountain","Home",0,"0"
"1885",109736,"Morning",6,"male","white","resident",37,"female","white","Multiple Victims","Single Offender","Parent","East South Central","Home",0,"0"
"1886",657436,"Afternoon",2,"female","black","resident",49,"male","black","Single Victim","Single Offender","Parent","East South Central","Home",0,"0"
"1887",93945,"Night",1,"female","white","resident",21,"male","white","Single Victim","Single Offender","Parent","West North Central","Home",0,"0"
"1888",10507,"Night",10,"male","white","non-resident",36,"male","white","Multiple Victims","Single Offender","Parent","West North Central","Home",0,"0"
"1889",72886,"Night",5,"female","white","resident",27,"female","white","Multiple Victims","Single Offender","Parent","East North Central","Home",0,"0"
"1890",15832,"Morning",3,"female","white","resident",23,"male","white","Single Victim","Single Offender","Parent","East South Central","Home",0,"0"
"1891",134340,"Morning",13,"male","white","non-resident",34,"female","white","Single Victim","Single Offender","Parent","East North Central","Home",0,"0"
"1892",215062,"Afternoon",7,"female","white","resident",28,"male","white","Single Victim","Single Offender","Parent","South Atlantic","Home",0,"0"
"1893",134355,"Night",3,"male","white","resident",34,"male","white","Single Victim","Single Offender","Parent","East South Central","Home",0,"0"
"1894",320014,"Afternoon",7,"male","black","resident",30,"female","black","Multiple Victims","Single Offender","Parent","South Atlantic","School/Center",0,"0"
"1895",37582,"Night",1,"female","black","resident",28,"female","black","Single Victim","Single Offender","Parent","West North Central","Other",0,"0"
"1896",75387,"Afternoon",8,"male","white","resident",31,"male","white","Single Victim","Single Offender","Parent","West South Central","Home",0,"0"
"1897",7434,"Afternoon",4,"male","white","resident",30,"male","white","Single Victim","Single Offender","Parent","West North Central","Home",0,"0"
"1898",6902,"Afternoon",14,"female","white","resident",44,"female","white","Single Victim","Single Offender","Parent","West South Central","Home",0,"0"
"1899",28976,"Morning",8,"male","white","resident",27,"female","white","Single Victim","Single Offender","Parent","East South Central","School/Center",0,"0"
"1900",102357,"Morning",2,"male","black","resident",18,"male","black","Single Victim","Single Offender","Parent","East North Central","Home",0,"0"
"1901",447588,"Morning",1,"female","white","resident",24,"male","white","Single Victim","Single Offender","Parent","South Atlantic","Home",0,"0"
"1902",657436,"Night",1,"male","black","resident",27,"male","black","Single Victim","Single Offender","Parent","East South Central","Home",0,"0"
"1903",72886,"Night",12,"female","white","resident",48,"female","white","Single Victim","Single Offender","Parent","East North Central","Home",0,"0"
"1904",58228,"Afternoon",6,"male","white","resident",55,"male","white","Multiple Victims","Single Offender","Parent","South Atlantic","Home",0,"0"
"1905",40666,"Afternoon",6,"male","white","non-resident",30,"female","white","Single Victim","Single Offender","Parent","East North Central","Home",0,"0"
"1906",89180,"Afternoon",5,"male","white","non-resident",26,"male","white","Multiple Victims","Single Offender","Parent","West North Central","Home",0,"0"
"1907",109939,"Afternoon",4,"female","black","resident",25,"female","black","Multiple Victims","Multiple Offenders","Parent","East North Central","Other",0,"0"
"1908",31748,"Afternoon",13,"female","white","resident",41,"female","white","Single Victim","Single Offender","Parent","Pacific","Home",0,"0"
"1909",39643,"Morning",5,"male","white","resident",31,"male","white","Single Victim","Single Offender","Parent","West South Central","Home",0,"0"
"1910",7556,"Morning",8,"male","white","resident",42,"female","white","Multiple Victims","Single Offender","Parent","West North Central","Home",0,"0"
"1911",0,"Afternoon",0.5,"female","white","resident",29,"male","white","Single Victim","Multiple Offenders","Parent","East South Central","Home",0,"0"
"1912",11559,"Afternoon",9,"female","white","resident",42,"male","white","Single Victim","Single Offender","Parent","West North Central","Home",0,"0"
"1913",384796,"Early",3,"male","black","resident",25,"female","white","Single Victim","Single Offender","Parent","West North Central","Other",1,"0"
"1914",82459,"Morning",2,"female","white","non-resident",30,"male","white","Single Victim","Single Offender","Parent","Mountain","Other",0,"0"
"1915",397886,"Night",8,"male","asian","resident",42,"male","asian","Single Victim","Single Offender","Parent","Mountain","Home",0,"0"
"1916",88200,"Afternoon",1,"male","white","resident",23,"male","white","Single Victim","Single Offender","Parent","West North Central","Home",0,"0"
"1917",652725,"Night",4,"female","black","resident",27,"male","black","Single Victim","Single Offender","Parent","East South Central","Other",0,"0"
"1918",46911,"Afternoon",13,"female","white","resident",48,"male","white","Single Victim","Single Offender","Parent","East North Central","Home",0,"0"
"1919",303796,"Morning",9,"male","black","resident",44,"male","black","Single Victim","Single Offender","Parent","West North Central","Home",0,"0"
"1920",89180,"Afternoon",13,"male","white","resident",43,"male","white","Single Victim","Single Offender","Parent","West North Central","Other",0,"0"
"1921",60444,"Night",0.5,"male","white","resident",32,"female","white","Single Victim","Single Offender","Parent","West South Central","Home",0,"0"
"1922",10960,"Afternoon",13,"female","white","non-resident",37,"female","white","Single Victim","Single Offender","Parent","West North Central","Home",0,"0"
"1923",42357,"Morning",3,"female","black","resident",40,"female","black","Single Victim","Single Offender","Parent","West North Central","School/Center",0,"0"
"1924",109708,"Afternoon",9,"female","white","resident",39,"male","black","Multiple Victims","Single Offender","Parent","New England","Home",1,"0"
"1925",15870,"Afternoon",5,"male","white","resident",31,"male","white","Single Victim","Single Offender","Parent","South Atlantic","Home",0,"0"
"1926",107300,"Night",11,"female","white","resident",34,"male","white","Single Victim","Single Offender","Parent","West South Central","Home",0,"0"
"1927",172460,"Night",5,"female","white","resident",19,"female","white","Single Victim","Single Offender","Parent","East South Central","Home",0,"0"
"1928",89753,"Afternoon",15,"male","white","non-resident",40,"male","white","Single Victim","Single Offender","Parent","New England","Home",0,"1"
"1929",8144,"Afternoon",5,"female","white","resident",28,"male","black","Single Victim","Single Offender","Parent","Pacific","Other",0,"0"
"1930",21168,"Afternoon",1,"male","white","resident",25,"male","white","Single Victim","Single Offender","Parent","East South Central","Home",0,"0"
"1931",657436,"Afternoon",1,"male","black","resident",29,"male","black","Single Victim","Single Offender","Parent","East South Central","Home",0,"0"
"1932",620886,"Morning",3,"male","black","resident",24,"male","black","Single Victim","Single Offender","Parent","East South Central","Home",0,"0"
"1933",673650,"Afternoon",6,"female","black","resident",37,"male","black","Single Victim","Single Offender","Parent","East South Central","Home",0,"0"
"1934",0,"Morning",15,"female","white","resident",36,"male","white","Single Victim","Single Offender","Parent","East North Central","Home",0,"1"
"1935",82459,"Afternoon",5,"female","white","resident",37,"female","white","Single Victim","Single Offender","Parent","Mountain","Home",0,"0"
"1936",32418,"Night",14,"female","black","resident",37,"female","white","Multiple Victims","Single Offender","Parent","East North Central","Home",1,"0"
"1937",673650,"Afternoon",9,"male","black","resident",30,"female","black","Multiple Victims","Single Offender","Parent","East South Central","Home",0,"0"
"1938",109245,"Afternoon",0.5,"male","white","resident",47,"male","white","Single Victim","Single Offender","Parent","East North Central","Home",0,"0"
"1939",16986,"Morning",2,"male","white","resident",25,"female","white","Single Victim","Single Offender","Parent","Mountain","Home",0,"0"
"1940",652725,"Night",7,"male","black","resident",30,"male","black","Multiple Victims","Single Offender","Parent","East South Central","Home",0,"0"
"1941",673650,"Morning",13,"male","black","resident",31,"male","black","Single Victim","Single Offender","Parent","East South Central","Home",0,"0"
"1942",101193,"Afternoon",7,"female","black","resident",29,"male","black","Single Victim","Single Offender","Parent","West North Central","School/Center",0,"0"
"1943",106371,"Morning",7,"female","white","resident",29,"female","white","Multiple Victims","Single Offender","Parent","Mountain","Home",0,"0"
"1944",10975,"Afternoon",4,"male","white","resident",21,"female","white","Single Victim","Single Offender","Parent","East North Central","Home",0,"0"
"1945",10264,"Afternoon",15,"male","white","resident",40,"male","white","Single Victim","Single Offender","Parent","East North Central","Home",0,"1"
"1946",38105,"Afternoon",3,"male","black","non-resident",23,"male","black","Single Victim","Single Offender","Parent","East North Central","School/Center",0,"0"
"1947",153107,"Morning",7,"male","white","resident",37,"female","white","Single Victim","Single Offender","Parent","South Atlantic","Home",0,"0"
"1948",3081,"Afternoon",9,"female","black","resident",27,"female","black","Single Victim","Single Offender","Parent","South Atlantic","Home",0,"0"
"1949",47648,"Night",15,"female","white","resident",38,"female","white","Single Victim","Single Offender","Parent","Mountain","Other",0,"0"
"1950",134128,"Afternoon",1,"female","white","resident",27,"female","white","Multiple Victims","Single Offender","Parent","East South Central","Home",0,"0"
"1951",35966,"Night",7,"female","white","resident",33,"female","white","Multiple Victims","Single Offender","Parent","New England","Home",0,"0"
"1952",144545,"Night",12,"male","black","resident",45,"female","white","Single Victim","Single Offender","Parent","South Atlantic","Home",1,"0"
"1953",185554,"Night",3,"male","black","resident",23,"male","black","Single Victim","Single Offender","Parent","East South Central","Home",0,"0"
"1954",13168,"Afternoon",12,"female","white","non-resident",42,"female","white","Single Victim","Single Offender","Parent","New England","Home",0,"0"
"1955",673650,"Night",4,"male","black","resident",21,"female","black","Single Victim","Single Offender","Parent","East South Central","Home",0,"0"
"1956",707096,"Afternoon",12,"female","black","resident",55,"female","black","Single Victim","Single Offender","Parent","East North Central","Home",0,"0"
"1957",21662,"Night",10,"female","white","resident",31,"female","white","Single Victim","Multiple Offenders","Parent","South Atlantic","Home",0,"1"
"1958",61658,"Afternoon",4,"male","black","resident",30,"female","black","Single Victim","Single Offender","Parent","East North Central","Other",0,"0"
"1959",673650,"Afternoon",1,"male","black","resident",19,"male","black","Single Victim","Single Offender","Parent","East South Central","Home",0,"0"
"1960",171541,"Afternoon",6,"male","black","non-resident",35,"male","black","Single Victim","Single Offender","Parent","East South Central","Other",0,"0"
"1961",134128,"Afternoon",2,"male","white","resident",25,"male","white","Single Victim","Single Offender","Parent","East South Central","Home",0,"0"
"1962",610612,"Afternoon",10,"female","white","resident",38,"female","white","Multiple Victims","Single Offender","Parent","Mountain","Home",0,"0"
"1963",102357,"Morning",8,"male","black","non-resident",32,"female","black","Single Victim","Single Offender","Parent","East North Central","Home",0,"0"
"1964",69979,"Night",2,"female","white","resident",41,"male","white","Single Victim","Single Offender","Parent","West North Central","Home",0,"0"
"1965",32016,"Afternoon",5,"female","white","resident",33,"female","white","Single Victim","Single Offender","Parent","East North Central","Home",0,"0"
"1966",185554,"Afternoon",10,"male","white","resident",50,"male","white","Single Victim","Single Offender","Parent","East South Central","Home",0,"0"
"1967",0,"Night",10,"female","white","resident",26,"female","white","Single Victim","Single Offender","Parent","South Atlantic","Home",0,"0"
"1968",748819,"Night",11,"female","white","resident",30,"female","white","Single Victim","Multiple Offenders","Parent","West South Central","Home",0,"0"
"1969",107329,"Afternoon",5,"male","white","resident",29,"male","white","Single Victim","Single Offender","Parent","West North Central","Home",0,"0"
"1970",48326,"Afternoon",2,"female","white","resident",28,"male","white","Single Victim","Single Offender","Parent","East North Central","Home",0,"0"
"1971",58201,"Afternoon",14,"male","white","resident",33,"male","white","Single Victim","Single Offender","Parent","East North Central","Home",0,"0"
"1972",652725,"Afternoon",6,"female","black","resident",42,"male","black","Single Victim","Single Offender","Parent","East South Central","Home",0,"0"
"1973",278483,"Afternoon",1,"female","black","resident",29,"female","black","Single Victim","Single Offender","Parent","Mountain","Home",0,"0"
"1974",237508,"Morning",11,"male","black","resident",26,"male","black","Multiple Victims","Single Offender","Parent","East North Central","Home",0,"1"
"1975",332020,"Afternoon",11,"female","white","non-resident",40,"female","white","Single Victim","Multiple Offenders","Parent","South Atlantic","Home",0,"1"
"1976",102357,"Night",2,"male","black","resident",28,"male","black","Single Victim","Single Offender","Parent","East North Central","Home",0,"0"
"1977",108039,"Night",4,"male","amer.indian","resident",45,"female","amer.indian","Single Victim","Single Offender","Parent","Mountain","Home",0,"0"
"1978",42561,"Afternoon",15,"female","asian","resident",41,"male","white","Single Victim","Single Offender","Parent","South Atlantic","Home",1,"0"
"1979",102357,"Morning",14,"female","black","resident",32,"female","black","Single Victim","Single Offender","Parent","East North Central","Home",0,"0"
"1980",360726,"Afternoon",2,"male","white","resident",28,"male","white","Single Victim","Single Offender","Parent","East North Central","Home",0,"0"
"1981",384796,"Early",14,"male","white","resident",48,"male","white","Single Victim","Single Offender","Parent","West North Central","Home",0,"0"
"1982",657436,"Morning",7,"female","black","resident",31,"female","black","Single Victim","Single Offender","Parent","East South Central","Home",0,"0"
"1983",40981,"Morning",4,"male","white","resident",26,"male","white","Single Victim","Single Offender","Parent","West North Central","Home",0,"0"
"1984",109065,"Night",15,"female","white","resident",36,"female","white","Single Victim","Multiple Offenders","Parent","Mountain","Other",0,"1"
"1985",46192,"Morning",9,"male","white","resident",42,"male","white","Single Victim","Single Offender","Parent","East North Central","Home",0,"0"
"1986",152545,"Afternoon",15,"male","white","resident",47,"male","white","Single Victim","Single Offender","Parent","East North Central","Home",0,"0"
"1987",108539,"Afternoon",2,"female","black","resident",19,"male","black","Single Victim","Single Offender","Parent","New England","Other",0,"0"
"1988",657436,"Afternoon",14,"female","black","resident",35,"female","black","Single Victim","Single Offender","Parent","East South Central","School/Center",0,"0"
"1989",13793,"Night",6,"female","white","non-resident",24,"female","white","Single Victim","Single Offender","Parent","New England","Other",0,"0"
"1990",657436,"Afternoon",3,"female","white","resident",28,"male","white","Single Victim","Single Offender","Parent","East South Central","Home",0,"0"
"1991",45272,"Afternoon",2,"male","white","resident",35,"male","white","Single Victim","Single Offender","Parent","South Atlantic","Home",0,"0"
"1992",82459,"Morning",0.5,"male","white","resident",25,"male","white","Single Victim","Single Offender","Parent","Mountain","Home",0,"0"
"1993",46547,"Night",15,"female","white","resident",41,"female","white","Single Victim","Single Offender","Parent","West North Central","School/Center",0,"0"
"1994",101632,"Morning",6,"male","black","resident",34,"male","black","Single Victim","Multiple Offenders","Parent","East North Central","Home",0,"0"
"1995",5329,"Afternoon",1,"male","white","resident",37,"female","white","Single Victim","Single Offender","Parent","West North Central","Home",0,"0"
"1996",15198,"Morning",4,"male","white","resident",27,"male","white","Multiple Victims","Single Offender","Parent","East South Central","Other",0,"1"
"1997",11337,"Morning",9,"male","white","non-resident",39,"male","white","Single Victim","Single Offender","Parent","West North Central","Home",0,"0"
"1998",74797,"Afternoon",5,"female","white","resident",28,"male","black","Multiple Victims","Single Offender","Parent","East North Central","Home",0,"0"
"1999",107609,"Night",15,"male","black","resident",38,"female","white","Multiple Victims","Single Offender","Parent","East North Central","Home",1,"0"
"2000",397106,"Afternoon",5,"male","black","resident",24,"male","black","Single Victim","Single Offender","Parent","East North Central","Home",0,"1"
"2001",26997,"Morning",3,"male","black","resident",27,"male","black","Single Victim","Single Offender","Parent","South Atlantic","Other",0,"0"
"2002",182254,"Afternoon",1,"male","black","resident",22,"male","black","Multiple Victims","Single Offender","Parent","East South Central","Other",0,"0"
"2003",241118,"Early",3,"female","white","non-resident",23,"male","white","Multiple Victims","Multiple Offenders","Parent","South Atlantic","Other",0,"0"
"2004",46257,"Night",3,"female","white","resident",21,"female","white","Single Victim","Single Offender","Parent","East North Central","Home",0,"0"
"2005",109199,"Morning",4,"male","white","resident",32,"male","white","Single Victim","Single Offender","Parent","East South Central","Home",0,"0"
"2006",31905,"Night",3,"female","black","resident",24,"female","black","Single Victim","Single Offender","Parent","East North Central","Home",0,"0"
"2007",101632,"Afternoon",2,"female","white","resident",22,"female","white","Multiple Victims","Single Offender","Parent","East North Central","Home",0,"0"
"2008",14225,"Morning",2,"male","black","resident",33,"male","black","Single Victim","Single Offender","Parent","East North Central","Home",0,"0"
"2009",37206,"Morning",3,"female","white","resident",40,"female","white","Single Victim","Single Offender","Parent","East North Central","Home",0,"0"
"2010",109199,"Night",9,"female","black","resident",34,"female","black","Multiple Victims","Single Offender","Parent","East South Central","Other",0,"0"
"2011",80963,"Night",7,"female","black","resident",43,"male","black","Single Victim","Single Offender","Parent","East North Central","Home",0,"1"
"2012",101632,"Afternoon",11,"male","black","resident",29,"male","black","Single Victim","Single Offender","Parent","East North Central","Home",0,"0"
"2013",21435,"Night",7,"female","white","non-resident",24,"female","white","Single Victim","Single Offender","Parent","East South Central","Home",0,"0"
"2014",30226,"Morning",2,"female","white","resident",22,"female","white","Single Victim","Multiple Offenders","Parent","New England","Home",0,"1"
"2015",657436,"Afternoon",3,"female","black","resident",57,"male","black","Single Victim","Single Offender","Parent","East South Central","Home",0,"0"
"2016",11037,"Morning",9,"male","white","resident",37,"female","white","Single Victim","Single Offender","Parent","New England","Home",0,"0"
"2017",49156,"Afternoon",1,"female","black","non-resident",30,"female","black","Single Victim","Single Offender","Parent","New England","Other",0,"0"
"2018",241118,"Afternoon",2,"male","black","resident",27,"male","black","Single Victim","Single Offender","Parent","South Atlantic","Home",0,"0"
"2019",137356,"Morning",8,"female","white","non-resident",35,"male","white","Single Victim","Single Offender","Parent","East South Central","Home",0,"0"
"2020",13753,"Morning",3,"female","white","non-resident",25,"female","white","Single Victim","Multiple Offenders","Parent","New England","Other",0,"0"
"2021",107706,"Afternoon",13,"female","white","resident",41,"female","white","Multiple Victims","Single Offender","Parent","West South Central","Home",0,"0"
"2022",7340,"Morning",2,"female","white","non-resident",20,"female","white","Single Victim","Single Offender","Parent","West North Central","Home",0,"0"
"2023",195225,"Morning",3,"male","black","resident",23,"female","black","Single Victim","Single Offender","Parent","South Atlantic","Home",0,"0"
"2024",153705,"Morning",4,"male","white","non-resident",27,"male","white","Multiple Victims","Multiple Offenders","Parent","South Atlantic","Home",0,"1"
"2025",89180,"Afternoon",4,"male","black","resident",28,"female","white","Single Victim","Single Offender","Parent","West North Central","Home",1,"0"
"2026",46547,"Afternoon",11,"female","white","resident",35,"female","white","Single Victim","Single Offender","Parent","West North Central","Home",0,"0"
"2027",10380,"Morning",15,"female","white","resident",37,"female","white","Single Victim","Single Offender","Parent","West North Central","Home",0,"0"
"2028",108185,"Afternoon",4,"male","black","resident",27,"male","black","Single Victim","Single Offender","Parent","West South Central","Home",0,"0"
"2029",73270,"Morning",3,"female","black","resident",26,"female","white","Multiple Victims","Single Offender","Parent","South Atlantic","Home",1,"0"
"2030",60386,"Morning",8,"male","white","resident",26,"female","white","Multiple Victims","Multiple Offenders","Parent","East North Central","Home",0,"1"
"2031",51132,"Afternoon",13,"female","white","resident",36,"male","white","Single Victim","Single Offender","Parent","East South Central","Home",0,"0"
"2032",225627,"Night",5,"male","white","non-resident",27,"male","white","Single Victim","Single Offender","Parent","South Atlantic","Home",0,"0"
"2033",48350,"Afternoon",0.5,"male","white","resident",33,"male","black","Single Victim","Multiple Offenders","Parent","East South Central","Home",1,"0"
"2034",94795,"Morning",4,"female","white","resident",32,"female","white","Single Victim","Single Offender","Parent","South Atlantic","Home",0,"0"
"2035",47223,"Afternoon",7,"female","white","resident",35,"female","white","Multiple Victims","Single Offender","Parent","Mountain","Home",0,"0"
"2036",44433,"Afternoon",1,"female","black","resident",26,"male","black","Single Victim","Single Offender","Parent","South Atlantic","Home",0,"1"
"2037",707096,"Afternoon",5,"female","black","resident",39,"female","black","Single Victim","Single Offender","Parent","East North Central","School/Center",0,"0"
"2038",109245,"Night",3,"female","white","resident",26,"female","white","Single Victim","Single Offender","Parent","East North Central","Home",0,"0"
"2039",134128,"Morning",0.5,"male","black","resident",18,"female","black","Single Victim","Single Offender","Parent","East South Central","Home",0,"0"
"2040",101632,"Morning",12,"female","black","resident",49,"male","black","Single Victim","Single Offender","Parent","East North Central","Home",0,"0"
"2041",19294,"Afternoon",11,"female","white","resident",47,"male","white","Single Victim","Multiple Offenders","Parent","West North Central","Home",0,"0"
"2042",3350,"Early",13,"female","white","resident",42,"male","white","Single Victim","Single Offender","Parent","West North Central","Home",0,"1"
"2043",278483,"Night",15,"male","black","non-resident",33,"female","black","Multiple Victims","Single Offender","Parent","Mountain","Other",0,"0"
"2044",3197,"Night",2,"male","white","non-resident",20,"female","white","Single Victim","Single Offender","Parent","West North Central","Home",0,"0"
"2045",47223,"Afternoon",7,"male","white","resident",32,"male","white","Single Victim","Single Offender","Parent","Mountain","School/Center",0,"0"
"2046",0,"Afternoon",3,"female","white","resident",29,"female","white","Multiple Victims","Single Offender","Parent","East North Central","Home",0,"0"
"2047",12611,"Night",15,"male","white","non-resident",32,"female","white","Single Victim","Single Offender","Parent","West North Central","Home",0,"0"
"2048",211097,"Afternoon",2,"female","white","resident",21,"male","white","Single Victim","Single Offender","Parent","South Atlantic","Home",0,"0"
"2049",194507,"Morning",8,"male","black","resident",37,"female","black","Single Victim","Single Offender","Parent","South Atlantic","Home",0,"0"
"2050",12704,"Morning",5,"male","black","resident",25,"male","black","Single Victim","Single Offender","Parent","South Atlantic","Home",0,"0"
"2051",109939,"Afternoon",9,"female","black","non-resident",36,"male","black","Single Victim","Single Offender","Parent","East North Central","Home",0,"0"
"2052",52766,"Morning",3,"female","white","resident",23,"male","white","Single Victim","Single Offender","Parent","West North Central","Other",0,"0"
"2053",25090,"Night",8,"male","white","resident",38,"female","white","Single Victim","Single Offender","Parent","Mountain","Other",0,"0"
"2054",108101,"Morning",7,"female","black","resident",25,"female","black","Multiple Victims","Multiple Offenders","Parent","New England","School/Center",0,"0"
"2055",93334,"Morning",6,"female","black","resident",26,"male","black","Single Victim","Single Offender","Parent","South Atlantic","Home",0,"0"
"2056",13831,"Morning",2,"male","white","resident",42,"male","white","Single Victim","Single Offender","Parent","South Atlantic","Home",0,"0"
"2057",30663,"Morning",5,"female","white","resident",24,"female","white","Multiple Victims","Multiple Offenders","Parent","Mountain","Home",0,"0"
"2058",224864,"Afternoon",5,"female","white","resident",35,"female","white","Multiple Victims","Single Offender","Parent","South Atlantic","Other",0,"0"
"2059",72071,"Afternoon",2,"male","white","resident",27,"female","white","Single Victim","Single Offender","Parent","East North Central","Home",0,"0"
"2060",102357,"Afternoon",3,"female","black","resident",22,"male","black","Single Victim","Single Offender","Parent","East North Central","Home",0,"0"
"2061",11672,"Morning",13,"male","black","resident",41,"male","black","Single Victim","Single Offender","Parent","East North Central","Home",0,"0"
"2062",21338,"Night",3,"female","white","resident",26,"male","white","Single Victim","Single Offender","Parent","South Atlantic","Home",0,"0"
"2063",0,"Afternoon",5,"male","white","resident",32,"female","white","Multiple Victims","Multiple Offenders","Parent","South Atlantic","Other",0,"0"
"2064",137905,"Morning",8,"male","white","resident",29,"female","white","Single Victim","Single Offender","Parent","South Atlantic","Home",0,"0"
"2065",102357,"Afternoon",3,"female","white","resident",24,"female","white","Single Victim","Single Offender","Parent","East North Central","Home",0,"0"
"2066",14643,"Morning",10,"female","white","resident",33,"male","white","Single Victim","Single Offender","Parent","East South Central","Home",0,"0"
"2067",2045,"Early",2,"female","white","resident",28,"female","white","Single Victim","Single Offender","Parent","West North Central","Home",0,"0"
