"","population.group","incident.hour","completed","victim.age","victim.sex","victim.race","offender.age","offender.sex","offender.race","multiple.victims","multiple.offenders","relationship.group","division.name","loc.group","same.race","target.harm","cluster"
"3494","Pop 100-500K",14,1,15,"female","white",63,"male","white","Single Victim","Single Offender","Known","Pacific","School",0,0,15
"3495","Pop 100-500K",12,1,4,"female","black",27,"female","black","Single Victim","Single Offender","Known","New England","Road/transit",0,0,13
"3496","Pop <25K",18,1,15,"female","white",17,"male","white","Single Victim","Single Offender","Known","New England","Home",0,0,4
"3497","Pop 25-100K",17,1,11,"male","black",14,"male","white","Multiple Victims","Multiple Offenders","Known","West South Central","Road/transit",1,0,4
"3498","Pop <25K",2,1,13,"female","black",17,"male","black","Multiple Victims","Multiple Offenders","Known","South Atlantic","Home",0,1,2
"3499","Pop 100-500K",15,1,9,"female","black",42,"female","black","Single Victim","Single Offender","Known","East North Central","Road/transit",0,0,10
"3500","Pop <25K",8,1,15,"female","white",34,"male","white","Single Victim","Single Offender","Known","East South Central","Shopping",0,0,7
"3501","Pop 25-100K",8,1,13,"male","black",28,"male","black","Single Victim","Single Offender","Known","South Atlantic","Home",0,0,2
"3502","Pop <25K",19,1,11,"male","white",20,"male","white","Multiple Victims","Single Offender","Known","West North Central","Home",0,0,4
"3504","Pop >500K",20,1,15,"female","white",33,"male","white","Single Victim","Single Offender","Known","New England","Park/outdoor",0,1,8
"3505","Pop 100-500K",18,0,6,"female","white",23,"male","white","Single Victim","Single Offender","Known","East North Central","Home",0,0,12
"3506","Pop 25-100K",3,1,13,"female","white",19,"male","white","Single Victim","Single Offender","Known","East South Central","Home",0,1,2
"3508","Pop 100-500K",17,1,5,"female","white",23,"female","white","Single Victim","Single Offender","Known","South Atlantic","Home",0,0,12
"3509","Pop <25K",11,1,6,"female","white",26,"male","white","Single Victim","Single Offender","Known","New England","Home",0,0,13
"3510","Pop <25K",21,1,14,"male","white",16,"male","white","Single Victim","Single Offender","Known","West South Central","School",0,0,4
"3511","Pop 25-100K",20,1,2,"female","white",27,"female","white","Multiple Victims","Single Offender","Known","East North Central","Shopping",0,0,14
"3515","Pop 25-100K",0,1,14,"female","white",46,"male","white","Single Victim","Multiple Offenders","Known","Mountain","Home",0,0,9
"3517","Pop 100-500K",19,0,4,"female","white",39,"female","white","Single Victim","Single Offender","Known","East North Central","School",0,0,1
"3518","Pop 25-100K",18,0,15,"female","white",38,"male","white","Single Victim","Single Offender","Known","Mountain","Home",0,0,10
"3519","Pop 25-100K",14,1,13,"female","white",16,"male","white","Single Victim","Single Offender","Known","West North Central","Home",0,0,4
"3520","Pop 25-100K",0,1,9,"male","white",31,"male","white","Multiple Victims","Multiple Offenders","Known","East North Central","Home",0,0,7
"3521","Pop 100-500K",11,1,2,"male","white",22,"female","white","Single Victim","Single Offender","Known","East North Central","Home",0,0,6
"3522","Pop 100-500K",22,1,8,"female","white",18,"male","white","Single Victim","Single Offender","Known","East North Central","Home",0,1,4
"3523","Pop 25-100K",9,1,11,"female","white",16,"male","black","Single Victim","Single Offender","Known","East North Central","Home",1,1,2
"3524","Pop 100-500K",22,0,2,"male","black",47,"male","white","Single Victim","Single Offender","Known","East North Central","Home",1,0,11
"3525","Pop 25-100K",17,1,12,"female","white",37,"male","white","Single Victim","Single Offender","Known","East South Central","Unknown",0,1,8
"3527","Pop 25-100K",16,1,14,"female","white",17,"male","black","Single Victim","Single Offender","Known","East North Central","Unknown",1,1,4
"3528","Pop 100-500K",4,1,13,"female","black",25,"male","black","Single Victim","Single Offender","Known","East North Central","Home",0,1,2
"3529","Pop 25-100K",13,1,14,"female","white",22,"male","white","Single Victim","Single Offender","Known","Mountain","Home",0,0,4
"3530","Pop 100-500K",14,1,3,"male","black",17,"female","black","Single Victim","Multiple Offenders","Known","South Atlantic","Other",0,0,6
"3533","Pop 25-100K",12,1,12,"female","white",56,"female","white","Single Victim","Multiple Offenders","Known","Pacific","Home",0,0,3
"3534","Pop >500K",19,1,4,"female","black",28,"female","black","Single Victim","Multiple Offenders","Known","East North Central","Home",0,0,14
"3535","Pop 25-100K",14,1,1,"male","white",19,"male","white","Single Victim","Single Offender","Known","South Atlantic","Home",0,0,6
"3536","Pop <25K",19,1,11,"male","white",20,"male","white","Multiple Victims","Single Offender","Known","West North Central","Home",0,0,4
"3537","Pop 100-500K",17,0,14,"female","black",28,"male","black","Single Victim","Single Offender","Known","East North Central","Road/transit",0,0,8
"3538","Pop 100-500K",16,1,3,"female","white",36,"male","white","Multiple Victims","Multiple Offenders","Known","East North Central","Home",0,1,1
"3539","Pop 100-500K",10,1,12,"female","white",52,"male","black","Single Victim","Single Offender","Known","South Atlantic","School",1,0,3
"3540","Pop <25K",22,1,14,"female","white",16,"male","white","Single Victim","Multiple Offenders","Known","West North Central","Home",0,1,4
"3541","Pop 100-500K",23,1,13,"female","white",28,"male","black","Single Victim","Multiple Offenders","Known","East North Central","Home",1,1,8
"3542","Pop <25K",21,1,15,"female","white",18,"female","white","Single Victim","Single Offender","Known","West North Central","Road/transit",0,0,4
"3543","Pop 25-100K",0,1,5,"male","white",31,"male","white","Multiple Victims","Multiple Offenders","Known","East North Central","Home",0,0,5
"3544","Pop <25K",19,1,9,"male","white",20,"male","white","Multiple Victims","Single Offender","Known","West North Central","Home",0,0,4
"3546","Pop <25K",0,1,15,"female","white",42,"male","white","Multiple Victims","Multiple Offenders","Known","East North Central","Home",0,0,9
"3547","Pop 25-100K",19,1,12,"male","white",58,"male","white","Multiple Victims","Single Offender","Known","East North Central","School",0,0,3
"3548","Pop 25-100K",0,1,9,"female","white",45,"male","white","Single Victim","Single Offender","Known","East North Central","Road/transit",0,0,9
"3549","Pop 100-500K",20,1,5,"male","white",44,"female","white","Multiple Victims","Multiple Offenders","Known","South Atlantic","Home",0,0,1
"3550","Pop 25-100K",13,1,14,"female","white",32,"male","white","Single Victim","Single Offender","Known","West South Central","Road/transit",0,0,8
"3551","Pop 25-100K",17,1,11,"male","black",16,"male","white","Multiple Victims","Multiple Offenders","Known","West South Central","Road/transit",1,0,4
"3553","Pop 25-100K",7,1,15,"female","white",19,"male","white","Single Victim","Multiple Offenders","Known","Pacific","School",0,1,2
"3554","Pop 100-500K",16,1,8,"male","black",26,"female","black","Single Victim","Single Offender","Known","East North Central","Home",0,0,14
"3555","Pop 25-100K",1,1,13,"male","white",16,"female","white","Single Victim","Multiple Offenders","Known","East North Central","Home",0,0,2
"3556","Pop <25K",15,1,13,"female","white",19,"male","white","Single Victim","Single Offender","Known","East South Central","Home",0,1,4
"3557","Pop >500K",20,1,4,"male","black",28,"female","white","Multiple Victims","Single Offender","Known","East North Central","Home",1,0,14
"3558","Pop 100-500K",0,1,13,"female","white",17,"male","white","Single Victim","Multiple Offenders","Known","West South Central","Shopping",0,1,2
"3559","Pop <25K",15,1,14,"male","white",34,"female","white","Single Victim","Single Offender","Known","South Atlantic","Home",0,0,8
"3560","Pop <25K",18,1,11,"male","white",28,"female","white","Multiple Victims","Single Offender","Known","West North Central","Park/outdoor",0,1,8
"3561","Pop 25-100K",17,1,3,"male","asian",19,"male","asian","Multiple Victims","Single Offender","Known","East North Central","Home",0,0,12
"3562","Pop 100-500K",8,1,15,"female","black",16,"male","black","Single Victim","Single Offender","Known","East North Central","School",0,1,2
"3564","Pop 25-100K",12,1,15,"female","white",16,"male","white","Single Victim","Single Offender","Known","Pacific","Home",0,0,4
"3565","Pop 100-500K",12,1,14,"female","white",22,"male","white","Single Victim","Single Offender","Known","South Atlantic","Home",0,1,4
"3566","Pop 100-500K",17,1,15,"female","white",36,"female","white","Single Victim","Multiple Offenders","Known","East North Central","Home",0,1,8
"3567","Pop <25K",8,1,14,"female","white",21,"male","white","Single Victim","Single Offender","Known","New England","Unknown",0,0,2
"3568","Pop 25-100K",12,0,15,"female","white",16,"male","black","Single Victim","Single Offender","Known","Mountain","Road/transit",1,1,4
"3569","Pop 25-100K",18,1,2,"female","white",34,"female","white","Single Victim","Single Offender","Known","West South Central","Shopping",0,0,14
"3570","Pop <25K",11,1,14,"male","white",46,"male","white","Single Victim","Single Offender","Known","West North Central","Road/transit",0,1,9
"3571","Pop 100-500K",12,1,15,"female","black",21,"female","black","Single Victim","Multiple Offenders","Known","East North Central","Shopping",0,1,4
"3572","Pop 25-100K",21,1,14,"female","white",17,"male","black","Single Victim","Single Offender","Known","West South Central","Road/transit",1,0,4
"3573","Pop 25-100K",9,1,9,"female","black",32,"female","black","Single Victim","Single Offender","Known","East North Central","Road/transit",0,0,13
"3574","Pop 25-100K",12,1,12,"female","white",57,"female","white","Single Victim","Multiple Offenders","Known","Pacific","Home",0,0,3
"3575","Pop 25-100K",12,1,14,"male","white",16,"male","white","Single Victim","Multiple Offenders","Known","West North Central","School",0,1,4
"3577","Pop <25K",15,1,12,"female","white",17,"male","white","Single Victim","Single Offender","Known","New England","Home",0,1,4
"3578","Pop 100-500K",16,1,11,"female","black",54,"male","black","Single Victim","Single Offender","Known","East North Central","Shopping",0,1,3
"3579","Pop 100-500K",20,1,9,"female","white",50,"male","white","Multiple Victims","Single Offender","Known","East North Central","Road/transit",0,0,3
"3580","Pop <25K",16,1,15,"female","white",18,"male","white","Single Victim","Single Offender","Known","East North Central","Park/outdoor",0,0,4
"3581","Pop 25-100K",1,1,14,"male","white",47,"male","white","Single Victim","Single Offender","Known","East South Central","Home",0,1,9
"3582","Pop <25K",2,1,13,"female","black",20,"male","black","Multiple Victims","Multiple Offenders","Known","South Atlantic","Home",0,1,2
"3583","Pop 100-500K",1,1,1,"female","white",42,"male","white","Multiple Victims","Multiple Offenders","Known","West North Central","Road/transit",0,0,9
"3584","Pop >500K",19,1,15,"female","black",64,"male","black","Single Victim","Single Offender","Known","West South Central","Road/transit",0,1,15
"3585","Pop 25-100K",20,1,15,"female","white",19,"male","white","Single Victim","Single Offender","Known","West North Central","Home",0,1,4
"3586","Pop 100-500K",8,1,15,"female","black",17,"female","asian","Single Victim","Multiple Offenders","Known","Pacific","Unknown",1,1,2
"3587","Pop >500K",7,1,12,"female","white",18,"male","white","Single Victim","Single Offender","Known","West South Central","Home",0,1,2
"3588","Pop <25K",16,1,13,"male","white",20,"male","white","Single Victim","Multiple Offenders","Known","East North Central","Road/transit",0,0,4
"3589","Pop 25-100K",18,1,13,"female","white",21,"male","white","Single Victim","Single Offender","Known","Pacific","Home",0,1,4
"3590","Pop <25K",1,1,13,"male","black",35,"male","white","Multiple Victims","Single Offender","Known","West North Central","Home",1,1,7
"3591","Pop 100-500K",16,1,3,"female","white",27,"female","white","Multiple Victims","Multiple Offenders","Known","East North Central","Home",0,1,14
"3592","Pop 100-500K",19,1,6,"male","white",45,"female","white","Single Victim","Single Offender","Known","Mountain","Other",0,0,10
"3593","Pop 25-100K",17,1,5,"male","asian",19,"male","asian","Multiple Victims","Single Offender","Known","East North Central","Home",0,0,12
"3594","Pop <25K",14,1,15,"female","white",23,"male","white","Single Victim","Single Offender","Known","New England","Home",0,0,4
"3596","Pop <25K",12,1,15,"male","white",50,"male","white","Single Victim","Multiple Offenders","Known","New England","Road/transit",0,0,3
"3598","Pop 25-100K",19,1,15,"female","black",18,"male","black","Single Victim","Multiple Offenders","Known","New England","Park/outdoor",0,1,4
"3599","Pop 100-500K",19,0,14,"female","white",48,"male","white","Single Victim","Single Offender","Known","East South Central","Shopping",0,0,3
"3600","Pop <25K",11,1,3,"female","white",20,"male","white","Single Victim","Multiple Offenders","Known","New England","Shopping",0,0,6
"3601","Pop 25-100K",17,1,11,"female","white",31,"male","white","Single Victim","Single Offender","Known","East North Central","School",0,0,8
"3602","Pop <25K",8,1,12,"male","white",53,"male","white","Multiple Victims","Single Offender","Known","West North Central","Home",0,0,9
"3603","Pop 100-500K",16,1,6,"female","white",27,"female","white","Multiple Victims","Multiple Offenders","Known","East North Central","Home",0,1,14
"3604","Pop <25K",14,1,15,"female","white",17,"male","white","Single Victim","Multiple Offenders","Known","Mountain","Park/outdoor",0,1,4
"3605","Pop <25K",0,1,0.5,"male","white",61,"female","white","Single Victim","Single Offender","Known","East South Central","Shopping",0,0,15
"3606","Pop <25K",13,1,1,"female","black",28,"male","black","Single Victim","Single Offender","Known","West North Central","Shopping",0,0,13
"3607","Pop 25-100K",0,1,14,"male","white",35,"male","white","Single Victim","Single Offender","Known","South Atlantic","Home",0,1,7
"3608","Pop 100-500K",20,1,2,"female","black",24,"male","black","Single Victim","Multiple Offenders","Known","East North Central","Home",0,0,12
"3609","Pop 25-100K",20,1,2,"female","white",27,"female","white","Multiple Victims","Single Offender","Known","East North Central","Shopping",0,0,14
"3610","Pop 100-500K",11,1,4,"female","black",43,"female","white","Single Victim","Single Offender","Known","South Atlantic","Unknown",1,0,1
"3611","Pop 25-100K",19,1,15,"female","black",18,"male","black","Single Victim","Single Offender","Known","South Atlantic","Home",0,0,4
"3612","Pop <25K",21,1,12,"female","white",45,"male","white","Multiple Victims","Single Offender","Known","South Atlantic","Unknown",0,1,10
"3613","Pop >500K",22,1,2,"male","black",20,"female","black","Multiple Victims","Single Offender","Known","East North Central","Home",0,0,12
"3614","Pop 100-500K",21,1,14,"female","white",20,"male","white","Single Victim","Multiple Offenders","Known","South Atlantic","Home",0,1,4
"3615","Pop 25-100K",19,1,13,"female","white",40,"male","white","Single Victim","Single Offender","Known","South Atlantic","Home",0,0,10
"3616","Pop 100-500K",11,1,14,"female","white",19,"male","white","Single Victim","Single Offender","Known","South Atlantic","Home",0,1,2
"3617","Pop 25-100K",6,1,13,"female","white",16,"male","white","Single Victim","Single Offender","Known","Mountain","Home",0,1,2
"3618","Pop 100-500K",0,1,13,"female","white",36,"male","white","Single Victim","Single Offender","Known","East North Central","Road/transit",0,0,7
"3620","Pop 25-100K",2,1,0.5,"female","white",27,"male","white","Single Victim","Multiple Offenders","Known","Mountain","Home",0,1,5
"3621","Pop <25K",12,1,15,"male","white",42,"female","white","Single Victim","Multiple Offenders","Known","New England","Road/transit",0,0,10
"3623","Pop >500K",9,1,12,"female","black",14,"male","black","Single Victim","Multiple Offenders","Known","East South Central","Home",0,1,2
"3624","Pop 100-500K",17,1,15,"male","white",16,"male","white","Multiple Victims","Multiple Offenders","Known","Mountain","School",0,0,4
"3625","Pop 25-100K",19,1,15,"male","white",56,"female","white","Single Victim","Single Offender","Known","West North Central","Home",0,0,3
"3626","Pop 100-500K",3,1,11,"female","white",32,"male","black","Single Victim","Single Offender","Known","East North Central","Home",1,0,7
"3627","Pop 100-500K",14,1,15,"female","black",16,"male","black","Single Victim","Single Offender","Known","New England","School",0,1,4
"3628","Pop 100-500K",19,1,12,"female","white",29,"male","white","Single Victim","Multiple Offenders","Known","East North Central","Road/transit",0,1,8
"3629","Pop <25K",12,1,15,"female","white",17,"male","white","Single Victim","Single Offender","Known","East South Central","Road/transit",0,1,4
"3630","Pop 25-100K",10,1,6,"male","white",24,"female","white","Multiple Victims","Multiple Offenders","Known","Mountain","Home",0,1,6
"3632","Pop >500K",18,1,5,"female","black",17,"male","white","Single Victim","Single Offender","Known","East North Central","Home",1,1,12
"3633","Pop 100-500K",19,1,15,"female","white",54,"male","white","Single Victim","Multiple Offenders","Known","Pacific","Park/outdoor",0,1,3
"3634","Pop 100-500K",10,1,2,"female","black",26,"male","black","Single Victim","Multiple Offenders","Known","East North Central","Home",0,0,6
"3635","Pop <25K",22,1,13,"female","white",21,"male","white","Single Victim","Single Offender","Known","East South Central","Home",0,0,4
"3636","Pop 25-100K",8,1,1,"male","white",44,"female","white","Single Victim","Multiple Offenders","Known","East South Central","Home",0,0,9
"3637","Pop >500K",18,1,5,"male","black",43,"female","black","Single Victim","Single Offender","Known","East South Central","Home",0,0,1
"3638","Pop 25-100K",22,1,12,"female","black",40,"female","white","Single Victim","Single Offender","Known","South Atlantic","Home",1,0,10
"3639","Pop <25K",11,1,15,"female","black",18,"male","black","Single Victim","Multiple Offenders","Known","East North Central","Road/transit",0,0,4
"3640","Pop <25K",8,1,15,"female","white",17,"male","white","Single Victim","Single Offender","Known","New England","School",0,1,2
"3641","Pop <25K",14,1,14,"female","white",34,"female","white","Single Victim","Single Offender","Known","East South Central","School",0,0,8
"3643","Pop 25-100K",23,1,13,"male","white",18,"female","white","Single Victim","Single Offender","Known","East South Central","Home",0,0,4
"3644","Pop 100-500K",11,1,15,"female","black",42,"male","black","Single Victim","Single Offender","Known","East North Central","Home",0,1,10
"3645","Pop <25K",17,1,13,"male","white",50,"male","black","Single Victim","Single Offender","Known","South Atlantic","School",1,1,3
"3646","Pop 25-100K",23,1,15,"female","black",45,"male","black","Single Victim","Single Offender","Known","New England","Home",0,1,10
"3648","Pop 100-500K",11,1,5,"male","black",19,"male","black","Single Victim","Single Offender","Known","East South Central","Home",0,0,6
"3649","Pop <25K",12,1,14,"male","white",16,"male","white","Single Victim","Multiple Offenders","Known","New England","Road/transit",0,1,4
"3650","Pop 25-100K",22,0,13,"female","black",22,"female","white","Multiple Victims","Multiple Offenders","Known","East North Central","Road/transit",1,1,4
"3651","Pop 25-100K",21,1,12,"male","white",23,"male","black","Single Victim","Single Offender","Known","West South Central","Home",1,0,4
"3652","Pop 100-500K",21,1,2,"female","black",26,"female","black","Single Victim","Single Offender","Known","South Atlantic","Home",0,0,12
"3653","Pop >500K",9,1,12,"female","black",17,"male","black","Single Victim","Multiple Offenders","Known","East South Central","Home",0,1,2
"3654","Pop 25-100K",0,1,15,"female","white",18,"female","white","Single Victim","Multiple Offenders","Known","New England","Home",0,1,2
"3655","Pop >500K",18,1,4,"female","white",23,"female","white","Single Victim","Single Offender","Known","East South Central","Home",0,0,12
"3656","Pop <25K",9,1,14,"female","white",24,"male","white","Single Victim","Single Offender","Known","Pacific","School",0,0,2
"3657","Pop <25K",0,1,14,"female","white",48,"female","white","Multiple Victims","Multiple Offenders","Known","East North Central","Home",0,0,9
"3658","Pop 100-500K",7,1,15,"female","black",35,"male","black","Single Victim","Single Offender","Known","South Atlantic","Home",0,1,7
"3659","Pop 25-100K",10,1,1,"male","black",20,"female","black","Single Victim","Multiple Offenders","Known","South Atlantic","Home",0,0,6
"3660","Pop 25-100K",23,1,14,"male","black",16,"male","black","Multiple Victims","Multiple Offenders","Known","West South Central","Shopping",0,1,4
"3661","Pop <25K",7,1,15,"female","white",19,"male","white","Multiple Victims","Multiple Offenders","Known","South Atlantic","School",0,0,2
"3662","Pop 25-100K",13,1,14,"female","black",53,"male","black","Single Victim","Single Offender","Known","East South Central","Home",0,1,3
"3663","Pop <25K",21,1,14,"female","white",24,"male","white","Single Victim","Single Offender","Known","East South Central","Home",0,0,4
"3664","Pop <25K",20,0,8,"female","white",28,"female","white","Multiple Victims","Single Offender","Known","East North Central","Shopping",0,0,14
"3665","Pop 25-100K",2,1,0.5,"female","white",31,"female","white","Single Victim","Multiple Offenders","Known","Mountain","Home",0,1,5
"3666","Pop >500K",19,1,10,"male","white",56,"male","white","Multiple Victims","Single Offender","Known","Mountain","Home",0,1,3
"3667","Pop <25K",21,1,7,"male","black",45,"male","white","Multiple Victims","Single Offender","Known","South Atlantic","Unknown",1,1,10
"3669","Pop 25-100K",18,1,10,"male","white",30,"male","white","Single Victim","Single Offender","Known","East North Central","Road/transit",0,0,8
"3672","Pop 100-500K",6,1,9,"female","white",21,"female","white","Single Victim","Multiple Offenders","Known","West North Central","Home",0,0,2
"3673","Pop <25K",20,1,15,"female","white",21,"male","white","Multiple Victims","Single Offender","Known","East South Central","Road/transit",0,0,4
"3674","Pop 100-500K",23,1,8,"female","white",26,"male","white","Single Victim","Single Offender","Known","West North Central","Home",0,0,14
"3675","Pop 100-500K",0,1,13,"female","white",21,"male","white","Single Victim","Multiple Offenders","Known","West South Central","Shopping",0,1,2
"3676","Pop 100-500K",19,1,15,"female","white",46,"male","white","Single Victim","Multiple Offenders","Known","Pacific","Park/outdoor",0,1,10
"3677","Pop 100-500K",13,1,1,"male","black",18,"female","black","Single Victim","Single Offender","Known","West North Central","Road/transit",0,0,6
"3678","Pop >500K",22,1,3,"male","black",20,"female","black","Multiple Victims","Single Offender","Known","East North Central","Home",0,0,12
"3679","Pop 25-100K",0,1,6,"male","white",31,"male","white","Multiple Victims","Multiple Offenders","Known","East North Central","Home",0,0,5
"3680","Pop 25-100K",4,1,15,"female","white",17,"male","white","Single Victim","Single Offender","Known","New England","Home",0,0,2
"3681","Pop <25K",10,1,13,"male","white",18,"male","white","Single Victim","Single Offender","Known","New England","Home",0,0,2
"3682","Pop <25K",22,1,9,"female","white",31,"male","white","Single Victim","Single Offender","Known","South Atlantic","Park/outdoor",0,0,14
"3683","Pop 100-500K",11,1,15,"female","white",18,"male","white","Single Victim","Single Offender","Known","West North Central","School",0,1,4
"3684","Pop 25-100K",10,1,5,"male","white",20,"male","white","Multiple Victims","Multiple Offenders","Known","Mountain","Home",0,1,6
"3685","Pop 100-500K",17,1,15,"female","white",15,"female","white","Multiple Victims","Multiple Offenders","Known","South Atlantic","Home",0,1,4
"3686","Pop 100-500K",15,1,2,"female","black",18,"male","black","Single Victim","Single Offender","Known","East North Central","Unknown",0,0,12
"3687","Pop 25-100K",2,1,14,"female","white",43,"male","white","Single Victim","Single Offender","Known","East North Central","Home",0,0,9
"3688","Pop 25-100K",22,0,2,"female","black",43,"male","white","Single Victim","Single Offender","Known","West South Central","Home",1,0,1
"3689","Pop 25-100K",8,1,6,"female","white",43,"male","black","Single Victim","Multiple Offenders","Known","West North Central","Home",1,1,9
"3690","Pop 100-500K",21,1,15,"female","black",16,"male","black","Single Victim","Single Offender","Known","East North Central","Shopping",0,1,4
"3691","Pop 25-100K",18,1,9,"male","white",46,"male","white","Single Victim","Single Offender","Known","South Atlantic","Home",0,0,10
"3692","Pop 100-500K",11,1,15,"female","black",17,"male","black","Single Victim","Single Offender","Known","South Atlantic","Home",0,1,4
"3693","Pop >500K",16,1,0.5,"female","black",17,"female","black","Single Victim","Single Offender","Known","East South Central","Home",0,0,12
"3694","Pop 25-100K",16,1,14,"female","white",27,"male","white","Single Victim","Single Offender","Known","East South Central","School",0,0,8
"3696","Pop 100-500K",15,1,15,"female","white",16,"male","white","Single Victim","Single Offender","Known","Mountain","School",0,1,4
"3698","Pop >500K",21,1,14,"female","white",19,"male","white","Single Victim","Single Offender","Known","East North Central","Unknown",0,0,4
"3699","Pop 25-100K",13,1,9,"female","white",54,"female","white","Single Victim","Single Offender","Known","South Atlantic","Home",0,0,3
"3700","Pop >500K",3,1,15,"female","white",21,"male","white","Single Victim","Single Offender","Known","New England","Home",0,1,2
"3701","Pop 25-100K",0,1,5,"female","white",44,"male","white","Single Victim","Single Offender","Known","South Atlantic","Home",0,1,9
"3702","Pop 25-100K",2,1,13,"male","white",25,"male","white","Single Victim","Single Offender","Known","Mountain","Home",0,1,2
"3703","Pop <25K",12,1,15,"female","white",18,"male","asian","Single Victim","Single Offender","Known","East North Central","Home",1,0,4
"3704","Pop 100-500K",19,1,1,"male","black",22,"male","black","Single Victim","Single Offender","Known","West North Central","Unknown",0,0,12
"3705","Pop 25-100K",11,1,15,"female","white",42,"male","white","Single Victim","Multiple Offenders","Known","West South Central","Home",0,0,10
"3706","Pop <25K",16,1,3,"female","black",24,"male","black","Single Victim","Single Offender","Known","South Atlantic","School",0,1,12
"3707","Pop 25-100K",13,1,13,"female","white",20,"male","white","Single Victim","Multiple Offenders","Known","East South Central","Home",0,0,4
"3708","Pop 25-100K",10,1,5,"male","white",24,"female","white","Multiple Victims","Multiple Offenders","Known","Mountain","Home",0,1,6
"3711","Pop 25-100K",14,1,9,"male","black",31,"male","black","Multiple Victims","Single Offender","Known","South Atlantic","Home",0,0,8
"3712","Pop <25K",23,1,15,"female","white",57,"male","white","Single Victim","Multiple Offenders","Known","West South Central","Home",0,0,3
"3713","Pop 100-500K",15,1,14,"female","white",30,"male","white","Single Victim","Single Offender","Known","East North Central","Home",0,1,8
"3714","Pop 25-100K",21,1,14,"female","white",42,"female","white","Multiple Victims","Single Offender","Known","West South Central","Shopping",0,1,10
"3716","Pop 25-100K",21,0,15,"female","white",19,"male","black","Single Victim","Multiple Offenders","Known","South Atlantic","Shopping",1,1,4
"3717","Pop 25-100K",21,1,12,"male","white",50,"male","white","Single Victim","Single Offender","Known","New England","Road/transit",0,0,3
"3718","Pop >500K",23,1,1,"female","black",36,"male","black","Single Victim","Multiple Offenders","Known","East South Central","Home",0,0,1
"3719","Pop 25-100K",0,1,13,"male","white",29,"female","white","Multiple Victims","Single Offender","Known","Mountain","Home",0,1,7
"3720","Pop <25K",19,1,1,"male","white",18,"male","white","Single Victim","Single Offender","Known","Pacific","Home",0,0,12
"3722","Pop <25K",13,1,15,"male","white",16,"male","white","Single Victim","Multiple Offenders","Known","New England","Park/outdoor",0,1,4
"3723","Pop <25K",9,1,11,"female","white",32,"female","white","Single Victim","Single Offender","Known","New England","Home",0,0,7
"3724","Pop 25-100K",18,1,14,"female","white",22,"male","white","Single Victim","Single Offender","Known","Pacific","Park/outdoor",0,1,4
"3725","Pop >500K",11,1,15,"female","black",17,"female","black","Single Victim","Multiple Offenders","Known","East North Central","Home",0,1,4
"3726","Pop 25-100K",15,1,14,"female","white",17,"male","black","Single Victim","Single Offender","Known","South Atlantic","School",1,1,4
"3727","Pop <25K",18,1,11,"male","white",16,"male","white","Single Victim","Single Offender","Known","West North Central","Park/outdoor",0,1,4
"3728","Pop >500K",21,1,15,"female","black",18,"male","black","Single Victim","Single Offender","Known","East North Central","Park/outdoor",0,1,4
"3729","Pop <25K",14,1,15,"male","white",44,"male","black","Single Victim","Single Offender","Known","South Atlantic","Road/transit",1,1,10
"3730","Pop >500K",10,1,4,"male","black",57,"male","black","Single Victim","Single Offender","Known","West South Central","Home",0,1,11
"3731","Pop 100-500K",17,1,15,"male","white",16,"male","white","Multiple Victims","Multiple Offenders","Known","Mountain","School",0,0,4
"3732","Pop 100-500K",12,1,7,"female","white",24,"male","white","Single Victim","Single Offender","Known","South Atlantic","Home",0,1,6
"3733","Pop >500K",22,0,13,"male","white",18,"male","white","Single Victim","Multiple Offenders","Known","East North Central","Road/transit",0,1,4
"3734","Pop <25K",21,0,12,"male","white",20,"male","white","Single Victim","Multiple Offenders","Known","East South Central","Road/transit",0,1,4
"3735","Pop <25K",12,1,4,"female","white",32,"male","white","Single Victim","Single Offender","Known","New England","Home",0,1,13
"3736","Pop 100-500K",19,1,10,"female","black",23,"male","black","Single Victim","Single Offender","Known","South Atlantic","Home",0,1,4
"3737","Pop >500K",18,1,1,"male","black",23,"female","black","Single Victim","Single Offender","Known","East North Central","Home",0,0,12
"3738","Pop >500K",19,1,12,"male","white",56,"male","white","Multiple Victims","Single Offender","Known","Mountain","Home",0,1,3
"3739","Pop <25K",8,1,14,"female","black",16,"male","black","Single Victim","Multiple Offenders","Known","South Atlantic","Home",0,1,2
"3740","Pop >500K",23,1,1,"female","black",19,"male","black","Single Victim","Multiple Offenders","Known","East South Central","Home",0,0,12
"3741","Pop 100-500K",17,1,4,"female","white",24,"female","white","Single Victim","Single Offender","Known","South Atlantic","Home",0,0,12
"3742","Pop 25-100K",8,1,15,"female","white",16,"male","white","Single Victim","Multiple Offenders","Known","East North Central","Home",0,1,2
"3743","Pop <25K",13,1,13,"female","white",23,"male","white","Single Victim","Single Offender","Known","Pacific","Home",0,1,4
"3745","Pop 25-100K",16,1,15,"male","white",17,"male","white","Single Victim","Multiple Offenders","Known","West South Central","School",0,0,4
"3746","Pop <25K",16,1,13,"male","white",33,"male","white","Single Victim","Multiple Offenders","Known","East North Central","Road/transit",0,0,8
"3747","Pop 25-100K",0,1,15,"male","white",23,"male","white","Single Victim","Single Offender","Known","East South Central","Road/transit",0,0,2
"3748","Pop 25-100K",16,1,15,"male","white",15,"male","white","Single Victim","Multiple Offenders","Known","West South Central","School",0,0,4
